Frame,Time,Pitch(rad),Yaw(rad),Pitch(deg),Yaw(deg),ScreenX,ScreenY,Distance(cm)
272,13.6,-0.10435997,-0.0322357,-5.9793854,-1.8469695,1881,894,137.48875
273,13.65,-0.10209628,-0.024286168,-5.8496857,-1.3914949,1868,851,137.48875
274,13.7,-0.104295254,0.013821007,-5.9756775,0.7918853,1883,644,138.05728
275,13.75,-0.094254866,0.0052754562,-5.400406,0.30226135,1825,691,138.05728
276,13.8,-0.098030694,0.0013646038,-5.6167445,0.078186035,1847,712,138.05728
277,13.85,-0.09694093,0.0056376457,-5.5543056,0.32301328,1840,689,138.05728
278,13.9,-0.10836669,0.0070099733,-6.208954,0.40164188,1907,681,138.05728
279,13.95,-0.08659508,-0.0128915645,-4.9615326,-0.7386322,1755,786,131.17209
280,14.0,-0.08724676,0.002733735,-4.998871,0.15663147,1759,705,131.17209
281,14.05,-0.10677519,0.011400726,-6.1177673,0.65321344,1867,661,131.17209
282,14.1,-0.112670094,0.01974228,-6.4555206,1.1311493,1899,618,131.17209
283,14.15,-0.11935729,0.008244082,-6.8386683,0.4723511,1934,677,130.68416
284,14.2,-0.10996273,-0.013998374,-6.3004003,-0.8020477,1882,791,130.68416
285,14.25,-0.13878824,0.0019070897,-7.9519796,0.10926819,2129,709,145.70416
286,14.3,-0.13562387,0.047280964,-7.770675,2.7089994,2063,464,137.48875
287,14.35,-0.11419555,-0.0052917013,-6.5429225,-0.30319214,1938,748,137.48875
288,14.4,-0.1193525,0.028600221,-6.838394,1.6386719,1934,572,130.68416
289,14.45,-0.12571426,0.018416557,-7.202896,1.0551909,1969,625,130.68416
290,14.5,-0.11356811,0.023419306,-6.5069733,1.3418273,1902,599,130.68416
291,14.55,-0.11665498,0.009743974,-6.6838374,0.5582885,1952,667,137.48875
292,14.6,-0.11425681,0.0055052866,-6.5464325,0.31542966,1938,690,137.48875
293,14.65,-0.110193886,0.0061444454,-6.3136444,0.35205078,1915,686,137.48875
294,14.7,-0.10949107,0.009385246,-6.273376,0.5377349,1911,669,137.48875
295,14.75,-0.10885166,0.017418405,-6.23674,0.99800104,1907,625,137.48875
296,14.8,-0.14062636,0.0020567593,-8.057296,0.11784362,2141,708,145.70416
297,14.85,-0.1046388,-0.01585806,-5.9953613,-0.90859985,1885,806,138.05728
298,14.9,-0.0981516,0.016278306,-5.623672,0.93267816,1847,631,138.05728
299,14.95,-0.10115405,0.021461617,-5.7957,1.22966,1865,603,138.05728
300,15.0,-0.13120782,0.019199528,-7.517654,1.1000519,2040,615,138.05728
301,15.05,-0.11413562,0.005884787,-6.5394893,0.33717343,1940,688,138.05728
302,15.1,-0.12817235,-0.010363159,-7.3437343,-0.5937652,2019,776,137.48875
303,15.15,-0.117658995,0.021322068,-6.7413635,1.2216644,1995,598,145.03629
304,15.2,-0.117649935,0.010226806,-6.7408442,0.58595276,1995,661,145.03629
305,15.25,-0.07646762,-0.0029691583,-4.3812714,-0.17012024,1744,736,145.03629
306,15.3,-0.08695594,0.009966881,-4.9822083,0.5710602,1808,663,145.03629
307,15.35,-0.07456771,0.010122942,-4.272415,0.58000183,1732,662,145.03629
308,15.4,-0.08997117,0.011547199,-5.1549683,0.6616058,1826,654,145.03629
309,15.45,-0.09908318,0.014955514,-5.6770477,0.8568878,1846,639,136.55663
310,15.5,-0.123250306,-0.0021371867,-7.061722,-0.122451775,1986,731,136.55663
311,15.55,-0.12817022,0.0005259743,-7.343612,0.030136107,2014,717,136.55663
312,15.6,-0.12848315,0.005289304,-7.3615417,0.30305478,2016,691,136.55663
313,15.65,-0.12708977,-0.006723683,-7.281707,-0.38523862,2016,756,138.05728
314,15.7,-0.11772264,0.019665314,-6.74501,1.1267394,1279,719,0.0
315,15.75,-0.12993217,-0.009994578,-7.4445643,-0.5726471,2071,777,145.03629
316,15.8,-0.13066241,-0.020603547,-7.4864044,-1.1804962,2034,831,137.48875
317,15.85,-0.12981899,0.0030240195,-7.43808,0.17326355,2029,703,137.48875
318,15.9,-0.12994228,-0.001257012,-7.445144,-0.07202148,2030,726,137.48875
319,15.95,-0.12541918,0.008362859,-7.1859894,0.47915646,2003,674,137.48875
320,16.0,-0.14412229,0.022472553,-8.257598,1.2875824,2113,598,137.48875
321,16.05,-0.14520167,0.019257585,-8.319443,1.1033783,2119,615,137.48875
322,16.1,-0.16940235,0.0049609365,-9.706038,0.28424072,2213,694,130.68416
323,16.15,-0.16816771,0.007241934,-9.6353,0.41493222,2206,682,130.68416
324,16.2,-0.17666586,-0.019001655,-10.122208,-1.0887146,2366,828,145.70416
