Frame,Time (s),Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),Screen X (px),Screen Y (px),Distance (cm)
207,10.35,-0.020638168,0.032691367,-1.1824799,1.8730773,1399,542,138.05728
208,10.4,-0.019295666,0.030499853,-1.1055602,1.7475128,1391,554,138.05728
209,10.45,-0.020421652,0.027743483,-1.1700745,1.5895844,1397,569,138.05728
210,10.5,-0.02283341,0.030872162,-1.3082579,1.7688445,1411,552,138.05728
211,10.55,-0.024261665,0.020882912,-1.390091,1.1965027,1420,606,138.24837
212,10.6,0.01146837,-0.0007507452,0.6570892,-0.043014526,1213,724,138.24837
213,10.65,-0.013628728,0.023114374,-0.78086853,1.324356,1354,600,131.17209
214,10.7,-0.017107615,0.021508222,-0.9801941,1.2323303,1373,608,131.17209
215,10.75,-0.018924689,0.015145397,-1.0843047,0.8677673,1389,637,138.05728
216,10.8,-0.0034677023,0.01529347,-0.19868469,0.8762512,1299,636,138.05728
217,10.85,-0.03482962,0.021962823,-1.9955901,1.258377,1492,594,145.70416
218,10.9,-0.015806926,0.0105951205,-0.9056701,0.60705566,1376,659,145.70416
219,10.95,-0.00069162296,0.004028031,-0.039627075,0.23078917,1284,696,145.70416
220,11.0,-0.017350761,-0.005222725,-0.9941253,-0.29924008,1385,749,145.70416
221,11.05,-0.010605773,0.0044677192,-0.607666,0.25598145,1344,694,145.70416
222,11.1,-0.0030711575,0.00379101,-0.17596436,0.21720886,1298,698,145.70416
223,11.15,-0.015909193,-0.007160442,-0.91152954,-0.4102631,1376,761,145.70416
224,11.2,-0.014434866,0.004957475,-0.8270568,0.28404236,1367,691,145.70416
225,11.25,-0.01621306,0.014617292,-0.9289398,0.8375091,1378,636,145.70416
226,11.3,-0.0073846797,0.006200638,-0.42311096,0.3552704,1324,684,145.70416
227,11.35,-0.01042814,0.0023363912,-0.5974884,0.13386536,1343,706,145.70416
228,11.4,-0.025870748,0.055649146,-1.4822845,3.188461,1428,418,137.48875
229,11.45,-0.01302126,0.016072445,-0.7460632,0.9208832,1355,632,138.05728
230,11.5,-0.01277545,0.016444487,-0.7319793,0.9421997,1353,630,138.05728
231,11.55,-0.008395083,0.018632274,-0.4810028,1.0675507,1328,619,137.48875
232,11.6,-0.006750315,0.0222089,-0.38676453,1.2724761,1318,599,137.48875
233,11.65,-0.008896822,0.022236863,-0.5097503,1.2740784,1331,599,137.48875
234,11.7,-0.008823319,0.01712466,-0.50553894,0.9811707,1330,627,137.48875
235,11.75,-0.008425177,0.020612335,-0.48272705,1.1809998,1331,601,145.70416
236,11.8,-0.018372085,0.008438492,-1.0526428,0.48348996,1391,671,145.70416
237,11.85,-0.013142168,-0.005471731,-0.7529907,-0.31350708,1359,751,145.70416
238,11.9,-0.013936855,-0.007792409,-0.79852295,-0.44647214,1364,764,145.70416
239,11.95,-0.01466523,0.00079442095,-0.84025574,0.045516964,1369,715,145.70416
240,12.0,-0.008438759,0.005041364,-0.48350522,0.28884888,1331,691,145.70416
241,12.05,-0.0070544477,0.0027742148,-0.40419006,0.15895079,1320,704,137.48875
242,12.1,-0.0077511305,0.0027923246,-0.44410703,0.1599884,1324,704,138.05728
243,12.15,-0.011660119,0.013806893,-0.66807556,0.7910766,1347,644,138.05728
244,12.2,-0.012881711,0.0063934512,-0.7380676,0.36631775,1354,685,138.05728
